Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
2,1,4,0,205.9,40.35,100,191.17,55.6,100,431.04,104.98,100,557.98,118.26,100
2,1,1,1,237.02,61.43,49,216.12,44.93,49,482.64,151.34,108,585.51,195.52,107
2,1,1,0,258.51,53.76,97,175.41,33.8,108,416.02,144.71,123,484.62,159.19,157
2,2,3,0,225.27,50.22,111,240.75,52.22,99,481.61,116.39,112,508.33,129.67,103
2,1,5,0,191,25,105,171,32,110,341,98,115,460,35,111
2,1,3,0,232.7,42,80,217,58,90,434,138,101,596.1,172.4,110
1,1,1,0,231.6,52.2,101,186.2,56,116,394,140.6,141,570.9,210.7,223
1,1,1,0,199.35,45.48,102,172.55,43.9,99,322.78,86.73,110,384.74,118.96,111
1,1,5,0,229.9,67.02,110,176.53,40.97,110,430.64,171.53,110,537.84,210.4,110
1,4,1,0,189.1,35.91,127,162.41,34.6,109,356.17,118.12,120,515.16,194.37,148
1,3,1,0,223,49.35,82,178.47,25.02,97,403.23,87.33,91,645.52,182.33,120
1,3,3,0,231,65.5,50,209,119,50,327,95.4,100,421,116,100
1,1,1,0,215.99,78.73,100,210.28,83.99,100,499.41,184.56,100,708.11,332.42,100
1,4,1,0,170.6,34.7,60,183.7,36,64,341.4,79.8,127,429.6,89.2,120
2,1,3,0,204.8,36.3,100,187.6,66.5,100,294.8,101.9,150,429.3,256,200
1,3,1,0,210.25,47.38404267,103,167.462963,72.31674489,108,367.2616,144.427,105,428.1287,137.864,100
2,1,1,0,201,49,102,168,34,102,489,141,112,672,189,104
1,5,1,0,201.12,36.34,100,156.04,19,100,318.13,79.66,100,423.99,102.7,100
1,1,1,0,308,101,50,259,122,50,421,143,172,574,218,174
1,2,2,0,212.7,30.56,60,189,99.9,60,313.9,111.2,150,299.7,127.4,150
1,2,5,0,204.5,22.48,138,178.5,26.48,130,442.8,149.76,111,552.3,174.13,123
1,1,4,0,188.78,29.65,59,191.58,37.33,55,368.41,115.68,125,446.44,134.2,153
1,3,1,0,246,76,100,197,44,100,386,88,100,515,164,100
1,2,5,0,186.6,12.15,113,167.28,20.98,99,302.21,71.42,116,448.44,87.93,127
2,2,1,0,220,56.7,70,178,47.3,81,354,117,227,520,206,296
2,5,4,0,201,4.24,117,218.52,61.06,115,431.01,167.17,157,467.26,136.75,137
1,3,1,5,194,30,127,165,35,150,304,63,103,441,140,143
1,4,5,0,201,35,100,180,30,100,340,149,100,373,129,100
1,2,3,0,190.4351852,38.03294701,100,220.6238532,112.4509099,100,478.625,289.9300376,100,630.8173077,211.6843516,100
1,1,3,0,231,69,100,190,65,100,450,122,100,594,219,100
1,4,3,0,231.1,62.5,55,181.8,60.8,55,367.5,86.4,110,476.4,121.6,110
1,5,2,0,226.32,63.94,104,184.59,47.61,86,323.63,105.35,97,394.5,77.78,122
2,2,3,0,204.31,13.45,60,172.37,21.21,60,370.37,76.9,130,419.11,86.41,130
2,1,1,0,236,42,99,209,46,101,365,97,100,605,213,100
